country,Country id,Date,CRISIS,CAB_Y,EXP_G,STED_R,FXR_G,REER,CRISIS_1
Thailand,2,2013Q2 [YR2013Q2],0,-1.666936772,-0.019911255,12.93626292,-0.012273118,4.322371563,0
Thailand,2,2013Q3 [YR2013Q3],0,-1.884236809,-0.042150425,14.67591276,-0.052108909,1.162056902,0
Thailand,2,2013Q4 [YR2013Q4],0,-2.101536846,-0.145021075,12.87245963,-0.069230094,-0.67008195,0
Thailand,2,2014Q1 [YR2014Q1],0,-0.861582336,-0.104521211,12.71471746,-0.051466552,-0.961777485,0
Thailand,2,2014Q2 [YR2014Q2],0,0.378372174,-0.028695327,13.94070469,-0.018788394,-2.481722121,0
Thailand,2,2014Q3 [YR2014Q3],0,1.618326684,-0.052410211,13.94147715,-0.061326626,0.646490164,1
Thailand,2,2014Q4 [YR2014Q4],0,2.858281195,-0.022853171,13.33886445,-0.062449312,2.906007107,0
Thailand,2,2015Q1 [YR2015Q1],0,3.872663831,-0.084977704,12.33583087,-0.066313632,7.581736588,0
Thailand,2,2015Q2 [YR2015Q2],0,4.887046467,-0.133043524,11.38175444,-0.044343816,2.200644427,0
Thailand,2,2015Q3 [YR2015Q3],0,5.901429103,-0.119697667,12.56533105,-0.035818029,-3.573453429,0
Thailand,2,2015Q4 [YR2015Q4],0,6.915811739,-0.149741207,12.13222488,8.34E-05,-3.086571133,0
Thailand,2,2016Q1 [YR2016Q1],0,7.813948668,-0.067391944,12.94270217,0.123019939,-3.260551603,0
Thailand,2,2016Q2 [YR2016Q2],0,8.712085597,-0.007006914,13.42825602,0.114289349,-5.490281216,0
Thailand,2,2016Q3 [YR2016Q3],0,9.610222526,0.015277339,13.49125116,0.15958733,-5.242116638,0
Thailand,2,2016Q4 [YR2016Q4],0,10.50835945,0.126411828,14.21875311,0.098443883,-2.943207148,0
Thailand,2,2017Q1 [YR2017Q1],0,10.28902636,0.132712928,14.98377583,0.033817451,-2.537108858,0
Thailand,2,2017Q2 [YR2017Q2],0,10.06969326,0.109274988,14.72355544,0.042306586,-2.512062321,0
